Label (Grouping),ZCTA5 64014!!Percent,ZCTA5 64015!!Percent,ZCTA5 64016!!Percent,ZCTA5 64029!!Percent,ZCTA5 64030!!Percent,ZCTA5 64034!!Percent,ZCTA5 64050!!Percent,ZCTA5 64052!!Percent,ZCTA5 64053!!Percent,ZCTA5 64054!!Percent,ZCTA5 64055!!Percent,ZCTA5 64056!!Percent,ZCTA5 64057!!Percent,ZCTA5 64058!!Percent,ZCTA5 64063!!Percent,ZCTA5 64064!!Percent,ZCTA5 64070!!Percent,ZCTA5 64075!!Percent,ZCTA5 64081!!Percent,ZCTA5 64082!!Percent,ZCTA5 64086!!Percent,ZCTA5 64088!!Percent,ZCTA5 64101!!Percent,ZCTA5 64105!!Percent,ZCTA5 64106!!Percent,ZCTA5 64108!!Percent,ZCTA5 64109!!Percent,ZCTA5 64110!!Percent,ZCTA5 64111!!Percent,ZCTA5 64112!!Percent,ZCTA5 64113!!Percent,ZCTA5 64114!!Percent,ZCTA5 64120!!Percent,ZCTA5 64123!!Percent,ZCTA5 64124!!Percent,ZCTA5 64125!!Percent,ZCTA5 64126!!Percent,ZCTA5 64127!!Percent,ZCTA5 64128!!Percent,ZCTA5 64129!!Percent,ZCTA5 64130!!Percent,ZCTA5 64131!!Percent,ZCTA5 64132!!Percent,ZCTA5 64133!!Percent,ZCTA5 64134!!Percent,ZCTA5 64136!!Percent,ZCTA5 64137!!Percent,ZCTA5 64138!!Percent,ZCTA5 64139!!Percent,ZCTA5 64145!!Percent,ZCTA5 64146!!Percent,ZCTA5 64147!!Percent
MARITAL STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Males 15 years and over,"10,142","12,269","1,712","7,878","9,683","3,633","8,747","9,335","2,507","1,285","14,021","5,944","5,750","2,280","8,650","7,209","1,217","5,063","9,247","7,006","9,832",564,81,"2,820","4,964","4,299","4,228","7,511","8,642","3,967","4,626","9,954",326,"3,920","4,211",711,"2,107","5,652","4,328","3,009","6,961","8,157","4,232","14,718","8,554",584,"3,818","9,555",906,"2,169",484,78
        Widowed,2.70%,2.50%,2.90%,0.40%,2.50%,0.60%,6.40%,2.20%,3.40%,2.10%,3.90%,1.60%,3.80%,7.30%,3.00%,2.00%,1.60%,2.30%,3.70%,1.00%,2.10%,3.00%,0.00%,0.30%,0.40%,1.30%,0.60%,2.20%,0.80%,0.90%,1.80%,2.80%,0.00%,7.30%,2.20%,1.50%,1.70%,2.30%,3.70%,3.70%,4.00%,3.00%,2.00%,3.40%,2.90%,3.10%,4.40%,2.20%,1.40%,3.80%,0.40%,0.00%
        Divorced,6.60%,10.60%,8.60%,10.70%,12.40%,6.70%,21.00%,16.80%,9.20%,16.40%,13.50%,11.90%,11.10%,15.50%,8.60%,9.20%,6.20%,14.70%,6.30%,8.00%,8.50%,10.80%,6.20%,10.10%,16.20%,14.90%,9.90%,5.60%,11.60%,9.30%,5.40%,9.70%,16.90%,11.30%,12.70%,8.00%,23.20%,14.70%,15.40%,12.40%,12.90%,13.30%,13.80%,13.20%,12.50%,20.20%,12.90%,11.30%,3.90%,8.40%,18.60%,0.00%
    Females 15 years and over,"11,740","12,917","2,019","8,398","10,988","3,510","9,000","8,673","2,375","1,300","15,891","7,027","6,618","2,764","8,301","8,184","1,274","4,415","10,850","7,850","9,447",543,32,"2,634","3,882","4,266","4,436","7,435","7,365","3,983","4,865","11,505",160,"3,908","3,829",816,"2,370","7,481","5,457","3,539","8,708","10,227","5,557","15,765","9,081",724,"4,397","10,537",959,"2,327",589,236
        Widowed,6.10%,7.80%,5.10%,7.80%,9.30%,2.60%,14.70%,6.20%,8.50%,6.20%,12.80%,8.90%,14.10%,14.50%,5.00%,7.50%,3.40%,8.20%,10.70%,5.80%,5.30%,2.80%,0.00%,2.10%,1.90%,7.00%,6.70%,5.70%,5.60%,4.70%,6.20%,8.00%,0.00%,6.30%,6.30%,9.80%,6.70%,10.30%,14.30%,7.00%,9.40%,8.50%,10.70%,7.30%,7.20%,10.80%,7.20%,8.80%,13.30%,14.60%,18.00%,0.00%
        Divorced,15.80%,14.30%,20.30%,14.30%,15.30%,9.40%,19.80%,17.50%,15.20%,18.30%,15.20%,13.40%,14.10%,17.60%,17.10%,14.10%,6.50%,12.60%,13.50%,10.00%,11.80%,9.60%,0.00%,18.10%,14.80%,13.80%,11.50%,13.50%,15.50%,10.10%,8.50%,17.40%,10.00%,11.80%,9.20%,6.50%,11.10%,18.80%,19.10%,13.80%,17.80%,15.30%,10.80%,18.90%,13.40%,27.10%,13.00%,13.90%,17.70%,14.80%,25.50%,0.00%
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        High school graduate or higher,95.60%,95.80%,89.30%,96.20%,90.70%,96.60%,89.00%,88.30%,77.50%,81.20%,91.60%,90.00%,93.40%,90.70%,95.60%,98.70%,96.80%,89.70%,98.00%,98.30%,95.90%,93.00%,94.80%,98.50%,89.60%,90.70%,86.60%,95.10%,96.10%,98.30%,100.00%,97.60%,81.00%,75.30%,69.10%,62.90%,66.80%,73.10%,83.80%,93.40%,84.90%,90.50%,85.60%,92.50%,90.70%,95.40%,94.00%,93.30%,98.00%,97.60%,96.20%,83.20%
        Bachelor's degree or higher,34.90%,32.90%,24.10%,29.90%,23.60%,40.10%,12.80%,15.40%,10.50%,16.30%,21.90%,18.80%,27.10%,17.20%,34.70%,53.40%,39.30%,19.30%,50.40%,56.00%,48.30%,16.30%,41.60%,69.70%,43.90%,49.50%,36.30%,49.00%,66.50%,75.90%,84.80%,54.40%,47.20%,18.40%,18.40%,8.40%,5.70%,8.10%,9.50%,15.90%,11.40%,38.50%,9.20%,23.10%,20.00%,42.20%,40.40%,21.70%,42.60%,58.70%,55.00%,5.80%
